"castle_1","castle_2","castle_3","castle_4","castle_5"
11,15,21,27,26
12,14,14,30,30
3,13,14,31,39
9,21,31,3,36
1,3,19,42,35
11,6,5,36,42
9,12,20,28,31
6,6,13,63,12
5,19,2,62,12
7,14,14,16,49
0,0,39,23,38
4,8,42,11,35
5,5,25,29,36
9,4,4,29,54
4,15,8,34,39
0,0,39,25,36
13,23,23,28,13
6,18,33,35,8
0,14,0,56,30
3,4,34,29,30
7,16,16,26,35
0,9,22,41,28
11,15,22,21,31
20,20,20,20,20
20,20,20,20,20
2,2,36,35,25
20,20,20,20,20
20,20,20,20,20
20,20,20,20,20
9,17,28,20,26
2,10,10,26,52
11,15,19,23,32
4,6,5,57,28
4,15,12,59,10
12,13,21,26,28
9,15,32,35,9
3,4,40,24,29
7,17,19,30,27
4,4,19,39,34
7,14,22,26,31
11,15,20,25,29
6,9,19,52,14
16,12,11,33,28
4,12,29,35,20
7,22,37,0,34
17,25,28,0,30
3,10,17,60,10
7,14,22,32,25
10,0,0,30,60
7,14,23,45,11
20,20,20,20,20
6,6,47,6,35
8,9,16,4,63
5,15,13,57,10
12,2,2,26,58
1,4,24,58,13
10,16,17,34,23
8,4,26,52,10
9,13,37,3,38
6,0,0,51,43
0,8,49,31,12
9,6,25,45,15
6,19,33,34,8
9,19,34,30,8
12,0,0,44,44
7,18,24,27,24
0,9,22,29,40
5,4,19,21,51
6,13,20,27,34
0,0,37,29,34
4,20,36,5,35
7,20,35,4,34
7,14,25,30,24
11,22,34,23,10
8,13,24,25,30
4,2,12,52,30
0,0,36,32,32
9,17,25,37,12
0,24,36,0,40
0,0,36,26,38
0,10,26,55,9
1,13,20,13,53
6,19,33,35,7
6,19,33,35,7
4,11,4,35,46
6,19,33,35,7
2,16,43,29,10
6,19,33,35,7
12,11,15,29,33
0,0,35,50,15
10,4,4,24,58
7,9,8,66,10
2,3,0,33,62
2,5,23,6,64
4,10,18,42,26
22,8,8,15,47
5,16,13,57,9
11,22,28,30,9
0,0,31,33,36
2,2,27,37,32
4,19,5,31,41
0,19,0,54,27
8,16,27,36,13
4,14,24,35,23
12,12,12,52,12
6,11,40,33,10
8,0,0,27,65
0,4,32,34,30
9,3,22,31,35
0,0,45,25,30
4,4,15,28,49
3,11,30,44,12
2,16,22,50,10
20,15,40,0,25
8,16,39,29,8
11,10,32,37,10
7,19,10,54,10
7,15,21,35,22
6,19,38,2,35
11,16,5,37,31
5,8,27,29,31
9,6,15,60,10
2,7,23,25,43
0,9,25,46,20
8,20,33,31,8
12,36,12,21,19
3,7,22,58,10
10,10,10,35,35
6,6,32,31,25
5,19,35,32,9
8,8,8,37,39
5,12,13,20,50
5,16,16,29,34
0,12,0,54,34
3,11,26,43,17
9,13,15,36,27
0,6,40,26,28
5,10,24,49,12
8,10,36,36,10
6,19,33,35,7
7,13,25,37,18
8,22,19,24,27
15,0,0,25,60
2,12,20,56,10
8,14,22,45,11
22,22,11,22,23
2,2,37,28,31
8,16,33,34,9
6,16,40,30,8
8,9,24,48,11
4,8,24,34,30
5,9,22,51,13
5,10,2,49,34
4,8,27,32,29
2,5,6,38,49
4,10,27,47,12
6,16,17,25,36
6,14,6,44,30
12,20,31,29,8
5,10,20,45,20
0,10,10,70,10
4,4,28,32,32
8,22,32,31,7
0,6,8,50,36
9,16,13,53,9
9,22,18,43,8
7,20,35,2,36
7,13,16,34,30
4,11,18,19,48
5,16,19,25,35
3,8,9,27,53
8,16,15,52,9
4,15,36,37,8
5,16,13,57,9
5,16,13,57,9
5,16,13,57,9
5,16,13,57,9
5,16,13,57,9
5,16,13,57,9
6,7,13,35,39
2,5,13,34,46
0,14,2,52,32
6,12,6,45,31
4,6,40,40,10
8,30,46,8,8
7,12,16,37,28
3,10,13,42,32
0,20,4,48,28
0,0,30,35,35
4,12,20,20,44
8,12,27,42,11
21,22,35,8,14
6,14,19,22,39
6,9,17,25,43
4,12,22,32,30
0,6,26,59,9
10,20,36,27,7
0,1,27,16,56
0,0,50,25,25
4,4,25,57,10
0,0,50,25,25
3,5,20,45,27
10,12,12,30,36
0,0,50,25,25
0,0,50,25,25
4,1,6,33,56
0,16,35,25,24
4,2,4,33,57
6,12,15,30,37
10,10,15,30,35
3,24,17,40,16
13,32,35,10,10
10,20,17,45,8
7,9,13,20,51
4,18,14,56,8
6,14,22,31,27
6,8,18,42,26
4,8,10,16,62
10,10,20,31,29
5,12,20,24,39
0,15,0,52,33
8,8,8,38,38
7,8,45,32,8
10,18,37,29,6
8,16,15,29,32
8,8,30,27,27
6,8,8,8,70
4,14,14,60,8
6,8,18,60,8
17,21,27,18,17
10,15,25,30,20
8,8,18,56,10
4,8,20,60,8
4,6,25,40,25
20,20,10,30,20
0,0,26,34,40
0,11,0,63,26
5,17,13,57,8
5,18,39,30,8
6,14,34,38,8
0,0,32,34,34
23,22,22,22,11
4,17,14,56,9
0,9,29,54,8
4,5,21,27,43
14,20,24,32,10
14,20,24,32,10
4,20,14,54,8
4,13,44,31,8
6,9,15,20,50
8,8,26,28,30
5,8,18,30,39
2,5,26,58,9
7,16,12,56,9
6,18,14,54,8
6,14,20,26,34
1,16,5,50,28
2,22,8,60,8
3,6,17,42,32
8,10,22,30,30
6,6,20,60,8
0,12,29,39,20
5,18,13,56,8
0,12,22,27,39
4,15,14,59,8
15,18,6,6,55
18,28,38,8,8
0,17,20,28,35
7,10,27,25,31
6,25,18,24,27
0,0,11,46,43
5,15,12,60,8
6,21,19,46,8
3,13,16,60,8
3,7,25,30,35
4,4,45,23,24
6,15,14,57,8
5,17,14,57,7
2,5,26,40,27
0,14,18,60,8
0,0,0,50,50
2,2,20,46,30
4,6,8,40,42
2,17,27,27,27
1,1,19,18,61
6,12,21,27,34
20,18,17,28,17
4,21,4,45,26
9,9,28,45,9
0,9,29,54,8
3,10,11,33,43
28,19,2,36,15
8,13,20,27,32
6,10,15,23,46
0,0,25,50,25
9,19,21,43,8
1,17,18,57,7
0,11,0,56,33
3,16,9,22,50
2,7,23,34,34
7,11,20,28,34
4,9,25,25,37
14,10,35,15,26
8,6,20,58,8
7,13,26,22,32
1,1,31,30,37
6,21,6,41,26
13,23,36,28,0
4,9,20,32,35
30,13,11,29,17
10,16,16,49,9
2,6,24,29,39
1,23,19,51,6
4,11,20,28,37
0,0,30,30,40
2,2,20,47,29
5,19,13,56,7
5,19,13,56,7
6,12,20,27,35
8,13,23,23,33
4,10,22,30,34
11,17,12,52,8
0,11,0,62,27
6,12,20,28,34
38,23,14,13,12
6,12,20,28,34
5,6,4,27,58
4,10,19,60,7
4,11,33,44,8
25,0,0,30,45
2,7,12,24,55
5,14,30,40,11
0,10,0,30,60
3,4,10,36,47
2,2,16,35,45
5,9,30,48,8
4,5,6,37,48
0,25,23,52,0
5,12,20,29,34
4,12,20,28,36
4,12,20,28,36
4,12,20,28,36
4,12,20,28,36
4,12,20,28,36
4,12,20,28,36
0,7,32,53,8
0,8,8,40,44
5,11,22,39,23
17,28,36,10,9
0,10,22,30,38
5,6,6,51,32
4,12,19,26,39
4,16,10,0,70
8,5,27,23,37
5,15,16,57,7
10,20,31,35,4
7,5,15,43,30
2,6,6,24,62
5,17,26,30,22
8,4,33,47,8
24,2,2,24,48
3,9,22,30,36
3,7,22,30,38
6,16,21,26,31
3,2,18,48,29
5,17,15,56,7
0,6,19,32,43
10,15,13,53,9
9,20,4,59,8
1,3,4,43,49
1,12,20,28,39
6,17,14,56,7
3,8,21,42,26
5,15,19,53,8
0,12,3,52,33
0,0,20,40,40
9,22,37,26,6
4,4,4,28,60
0,4,19,33,44
4,4,2,30,60
0,0,20,45,35
22,38,25,5,10
3,12,25,52,8
2,2,6,40,50
0,0,0,43,57
2,2,19,38,39
12,20,36,27,5
1,5,17,29,48
6,18,30,20,26
24,27,20,16,13
5,18,14,57,6
6,15,15,58,6
3,10,25,28,34
3,7,25,57,8
5,4,25,58,8
20,20,20,20,20
0,0,18,39,43
7,18,13,56,6
0,5,23,32,40
6,16,14,58,6
6,16,14,58,6
4,8,28,52,8
4,18,32,27,19
3,22,34,34,7
0,17,40,37,6
2,3,16,46,33
1,3,24,32,40
4,4,26,58,8
8,3,30,52,7
0,10,0,60,30
4,7,33,48,8
6,17,14,57,6
5,6,24,42,23
4,5,25,59,7
9,4,27,54,6
4,6,25,58,7
4,6,25,58,7
4,14,18,58,6
1,10,36,48,5
0,0,0,40,60
6,16,14,58,6
8,8,22,54,8
3,11,24,54,8
10,20,16,48,6
6,18,14,56,6
7,12,25,28,28
2,23,20,53,2
2,3,22,53,20
3,7,22,48,20
3,7,22,48,20
3,7,22,48,20
0,0,28,45,27
7,11,27,25,30
0,0,40,20,40
8,0,28,61,3
0,0,30,40,30
2,17,22,52,7
2,20,27,22,29
5,10,24,39,22
6,14,24,32,24
14,25,37,24,0
2,3,5,15,75
14,30,31,19,6
7,16,44,27,6
12,12,39,4,33
0,5,25,38,32
5,6,15,40,34
8,16,13,57,6
9,6,25,53,7
6,18,14,56,6
7,8,8,2,75
3,5,25,51,16
9,15,12,58,6
5,11,38,40,6
1,20,32,36,11
8,17,13,56,6
9,45,18,19,9
5,5,25,45,20
0,16,30,50,4
7,17,14,57,5
0,5,28,40,27
15,25,35,25,0
8,4,31,53,4
13,4,24,53,6
0,12,27,57,4
2,15,19,58,6
4,24,27,39,6
0,0,10,30,60
3,9,30,50,8
6,6,19,39,30
10,16,11,57,6
12,27,31,28,2
2,12,41,41,4
4,8,24,57,7
10,23,39,26,2
7,18,14,57,4
7,18,14,57,4
18,19,2,21,40
11,25,39,25,0
8,12,22,52,6
2,16,17,60,5
5,10,25,39,21
6,6,5,36,47
2,16,40,40,2
0,0,36,40,24
14,16,40,30,0
5,9,13,45,28
7,13,24,51,5
0,18,31,51,0
7,18,15,56,4
7,11,23,53,6
7,19,31,43,0
4,6,4,56,30
5,27,2,43,23
3,5,32,54,6
4,15,31,45,5
5,10,24,40,21
5,10,24,40,21
1,12,27,36,24
8,18,14,56,4
8,18,14,56,4
5,5,42,42,6
10,24,38,26,2
9,13,33,45,0
6,8,10,70,6
2,18,15,61,4
5,10,24,39,22
2,16,21,55,6
2,26,62,2,8
0,15,40,45,0
10,9,17,58,6
20,13,27,32,8
2,28,16,54,0
2,9,5,2,82
3,6,44,41,6
8,16,24,32,20
9,22,13,50,6
14,20,30,36,0
6,12,17,38,27
17,28,29,22,4
25,20,20,27,8
20,26,34,20,0
0,40,20,40,0
0,3,6,64,27
4,13,4,36,43
10,61,5,12,12
18,22,35,25,0
8,7,25,56,4
4,6,26,60,4
2,1,26,27,44
4,2,35,55,4
27,27,16,20,10
2,17,33,14,34
10,25,45,18,2
11,25,26,32,6
2,3,6,26,63
2,3,7,16,72
2,3,9,50,36
2,18,22,28,30
11,20,20,27,22
6,36,1,47,10
23,4,26,43,4
0,22,42,2,34
60,10,10,10,10
19,23,27,31,0
12,24,24,40,0
34,10,30,18,8
10,10,16,60,4
3,4,4,12,77
17,22,23,34,4
3,9,53,24,11
3,4,36,57,0
6,52,14,20,8
2,2,38,56,2
6,42,42,8,2
34,28,20,12,6
28,28,28,14,2
1,2,3,52,42
24,14,46,14,2
8,56,12,17,7
4,32,50,10,4
12,31,33,6,18
0,35,6,36,23
2,4,8,10,76
2,6,7,4,81
36,28,22,14,0
15,14,62,8,1
4,58,14,20,4
27,44,4,23,2
49,32,9,8,2
0,0,0,7,93
0,2,4,6,88
25,50,21,2,2
1,3,2,3,91
15,3,67,3,12
2,2,2,2,92
2,2,2,2,92
57,34,4,2,3
0,0,0,0,100
0,0,0,0,100
64,30,0,0,6
58,23,19,0,0
65,30,0,0,5
0,0,0,0,100
100,0,0,0,0
