"castle_1","castle_2","castle_3","castle_4","castle_5"
6,6,27,55,6
6,6,23,39,26
6,6,19,44,25
6,6,41,6,41
6,6,24,62,2
6,6,19,42,27
6,6,18,52,18
6,6,14,37,37
6,6,6,6,76
5,19,23,22,31
5,4,4,30,57
5,4,2,32,57
4,11,30,30,25
4,12,28,22,34
3,9,0,52,36
3,12,0,50,35
3,0,0,31,66
3,0,0,29,68
3,0,0,29,68
3,0,0,29,68
3,0,0,29,68
20,36,20,12,12
20,20,4,36,20
19,13,34,34,0
18,21,13,26,22
14,26,4,4,52
14,17,20,23,26
13,22,22,39,4
12,2,40,40,6
10,4,38,44,4
10,4,31,51,4
10,4,28,52,6
9,25,39,25,2
8,24,40,27,1
8,21,40,27,4
8,9,40,40,3
8,14,20,26,32
8,4,27,57,4
7,21,20,52,0
7,20,41,32,0
7,19,31,43,0
7,19,31,43,0
7,19,29,41,4
7,16,24,32,21
7,8,13,20,52
7,12,21,25,35
7,10,22,34,27
7,10,15,37,31
7,0,21,72,0
6,20,30,40,4
6,9,0,30,55
6,19,30,41,4
6,20,34,40,0
6,19,35,30,10
6,16,24,54,0
6,7,37,48,2
6,22,44,28,0
6,22,22,24,26
6,21,42,29,2
6,19,33,42,0
6,16,26,34,18
6,14,26,34,20
6,14,25,34,21
6,14,24,34,22
6,14,24,34,22
6,14,45,0,35
6,14,24,50,6
6,14,24,37,19
6,14,22,37,21
6,14,22,34,24
6,14,22,30,28
6,14,22,30,28
6,14,22,30,28
6,14,20,26,34
6,14,20,31,29
6,14,12,30,38
6,12,24,36,22
6,12,24,37,21
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,28,34
6,12,20,27,35
6,12,20,27,35
6,10,20,60,4
6,10,6,8,70
6,12,19,27,36
6,8,14,38,34
6,5,35,31,23
5,13,33,22,27
5,10,2,43,40
5,16,31,44,4
5,16,24,33,22
5,17,42,34,2
5,12,27,54,2
5,13,34,34,14
5,13,29,53,0
5,12,21,27,35
5,12,24,36,23
5,12,20,28,35
5,12,20,27,36
5,12,20,26,37
5,12,20,26,37
5,12,21,29,33
5,12,18,27,38
5,11,16,40,28
5,9,31,51,4
5,9,18,53,15
5,9,16,26,44
5,9,20,31,35
5,9,20,31,35
5,16,43,30,6
5,8,23,39,25
5,7,6,73,9
5,6,10,14,65
5,15,34,23,23
5,10,5,51,29
5,8,15,37,35
