"castle_1","castle_2","castle_3","castle_4","castle_5"
0,13,24,6,57
0,10,28,38,24
12,0,41,47,0
3,6,20,30,41
0,5,35,38,22
4,11,23,35,27
0,0,19,21,60
5,0,0,30,65
0,11,20,31,38
3,3,30,26,38
0,0,0,50,50
1,2,26,10,61
10,0,0,28,62
18,26,35,21,0
0,0,32,34,34
12,23,14,25,26
2,6,2,40,50
8,0,34,58,0
0,11,26,37,26
0,0,25,50,25
7,10,11,34,38
0,14,25,2,59
18,21,25,23,13
0,0,22,52,26
4,4,4,4,84
4,0,0,28,68
0,15,15,0,70
2,2,6,25,65
3,0,0,32,65
5,7,23,31,34
2,4,45,27,22
4,10,21,31,34
2,14,6,28,50
3,0,25,37,35
4,11,21,31,33
4,4,4,44,44
3,12,19,32,34
4,4,4,42,46
15,0,0,27,58
5,9,19,32,35
9,1,19,26,45
6,15,2,2,75
8,4,4,31,53
7,0,0,31,62
0,2,5,18,75
7,16,16,26,35
0,10,10,35,45
0,0,10,30,60
4,12,20,28,36
0,0,22,36,42
8,14,22,26,30
0,9,14,37,40
2,2,15,34,47
4,0,0,32,64
4,7,17,36,36
0,14,34,38,14
0,13,25,9,53
2,2,16,40,40
4,0,0,31,65
3,16,27,29,25
8,17,13,56,6
0,5,23,34,38
6,10,27,46,11
0,5,24,32,39
8,14,31,24,23
10,16,20,25,29
10,0,0,30,60
0,0,23,36,41
2,4,25,33,36
5,6,20,21,48
6,12,28,12,42
0,13,28,19,40
7,13,21,28,31
10,10,2,58,20
8,14,24,12,42
2,10,20,16,52
0,0,25,50,25
8,15,18,27,32
3,11,21,30,35
0,15,40,45,0
10,0,0,28,62
4,10,29,2,55
4,14,29,33,20
9,23,42,18,8
4,17,17,4,58
0,0,20,50,30
3,16,16,4,61
11,22,6,0,61
0,7,0,42,51
2,2,2,44,50
7,7,24,34,28
5,9,16,34,36
8,17,12,17,46
4,12,20,28,36
0,0,26,35,39
0,14,18,0,68
5,8,27,40,20
1,14,25,27,33
4,0,18,38,40
0,15,0,55,30
1,15,28,22,34
2,2,16,40,40
4,0,18,37,41
15,22,35,26,2
4,19,12,46,19
3,12,33,49,3
0,0,45,25,30
10,21,30,39,0
0,25,50,25,0
15,0,0,55,30
10,15,18,27,30
14,22,31,8,25
11,25,39,25,0
4,4,4,25,63
6,10,12,32,40
2,6,21,33,38
17,25,45,5,8
4,14,30,5,47
1,15,2,50,32
7,13,12,30,38
11,19,24,16,30
0,5,14,32,49
1,17,21,4,57
4,16,28,48,4
6,13,21,30,30
4,15,20,24,37
0,7,24,33,36
7,19,13,18,43
0,0,20,50,30
1,3,10,33,53
3,7,24,32,34
15,22,14,0,49
1,6,16,30,47
2,5,25,55,13
6,0,0,32,62
7,16,9,2,66
7,7,25,30,31
2,19,20,24,35
4,4,20,36,36
5,12,20,30,33
1,14,21,28,36
9,16,2,36,37
2,13,24,3,58
4,0,0,48,48
0,0,17,48,35
7,27,0,0,66
6,12,23,27,32
1,11,26,2,60
13,27,10,10,40
4,12,20,28,36
20,20,20,20,20
6,12,22,34,26
2,4,39,26,29
3,5,15,38,39
9,16,16,25,34
0,16,42,42,0
6,24,38,30,2
7,13,22,35,23
0,9,20,0,71
0,0,35,25,40
13,25,37,23,2
4,13,24,7,52
7,1,2,27,63
0,0,33,44,23
4,12,20,28,36
2,8,20,30,40
0,10,0,30,60
5,15,20,0,60
0,0,0,45,55
0,0,22,39,39
10,22,42,26,0
8,5,15,36,36
20,20,35,25,0
1,18,1,59,21
2,2,25,34,37
6,6,26,16,46
10,0,0,30,60
2,16,2,50,30
0,18,18,0,64
2,2,2,42,52
2,19,31,2,46
4,10,21,32,33
2,2,28,54,14
18,0,40,42,0
4,14,11,33,38
2,13,14,19,52
20,25,35,20,0
0,13,24,3,60
2,21,19,24,34
6,14,24,34,22
8,0,0,30,62
12,20,38,0,30
4,4,27,43,22
10,10,14,36,30
6,12,20,28,34
6,12,20,28,34
2,6,0,36,56
0,0,39,29,32
0,0,47,27,26
7,10,24,26,33
6,12,16,36,30
7,10,24,9,50
2,15,33,48,2
4,17,35,40,4
3,4,19,35,39
0,0,32,33,35
0,13,22,7,58
2,2,35,21,40
4,12,20,28,36
5,11,21,28,35
0,16,22,2,60
7,20,31,18,24
4,6,20,30,40
16,24,33,23,4
13,27,38,22,0
5,0,0,32,63
0,17,26,36,21
4,9,17,34,36
2,4,18,38,38
0,0,20,40,40
3,10,15,35,37
5,12,21,31,31
2,7,19,32,40
8,15,22,29,26
7,0,0,31,62
7,13,23,35,22
3,7,23,32,35
0,0,0,45,55
4,9,24,34,29
16,24,34,23,3
0,0,20,40,40
13,19,30,2,36
7,20,41,21,11
1,15,24,12,48
0,0,44,25,31
9,2,24,64,1
0,9,3,52,36
7,25,0,0,68
0,0,24,40,36
5,14,23,15,43
0,20,25,30,25
5,8,27,27,33
0,12,20,32,36
2,18,30,2,48
12,24,38,26,0
0,10,8,37,45
7,12,22,33,26
1,2,22,45,30
0,0,1,45,54
6,12,20,28,34
0,10,22,30,38
4,10,20,30,36
4,0,0,32,64
5,10,29,36,20
10,12,25,20,33
0,0,20,40,40
3,12,20,34,31
12,0,0,29,59
2,11,21,43,23
5,11,22,34,28
5,0,0,31,64
0,17,18,0,65
3,23,46,2,26
11,2,2,26,59
24,2,2,24,48
2,2,44,22,30
7,6,23,25,39
2,8,24,37,29
4,16,25,36,19
0,13,24,6,57
18,14,20,32,16
0,18,34,48,0
6,20,16,58,0
4,11,24,40,21
3,7,27,31,32
14,23,33,0,30
4,8,19,33,36
5,14,34,33,14
2,9,20,40,29
5,14,24,29,28
2,11,25,35,27
3,4,17,21,55
0,17,19,11,53
0,13,25,5,57
5,12,21,33,29
0,15,0,51,34
5,14,17,23,41
0,2,34,32,32
20,22,36,22,0
1,17,24,4,54
8,7,6,29,50
13,17,24,32,14
0,0,20,35,45
0,13,18,2,67
0,4,17,34,45
7,13,25,34,21
0,13,25,29,33
6,13,20,22,39
4,14,34,43,5
3,13,15,3,66
6,9,31,54,0
0,12,23,29,36
25,25,30,20,0
4,6,20,55,15
12,19,0,21,48
5,14,21,60,0
4,0,0,32,64
8,12,16,25,39
0,0,24,34,42
6,9,10,20,55
9,27,0,0,64
11,24,19,25,21
12,19,30,39,0
0,14,32,35,19
6,0,0,21,73
2,7,30,40,21
8,11,21,40,20
5,8,14,58,15
11,7,0,39,43
6,6,24,42,22
9,5,0,48,38
8,13,24,17,38
3,11,21,33,32
14,20,0,22,44
10,15,16,13,46
0,14,25,2,59
4,16,19,27,34
0,0,20,40,40
2,2,24,32,40
4,9,22,32,33
2,2,0,32,64
9,15,15,16,45
0,24,34,42,0
7,16,29,31,17
2,16,27,36,19
0,12,26,21,41
1,8,16,31,44
16,0,0,26,58
9,15,25,16,35
8,15,14,25,38
7,0,0,31,62
11,0,0,28,61
4,7,23,32,34
11,13,16,31,29
6,12,20,28,34
2,9,23,31,35
0,2,27,31,40
10,25,39,26,0
6,9,15,21,49
0,10,27,42,21
9,16,25,35,15
2,7,6,35,50
3,0,0,29,68
0,13,35,26,26
14,19,42,0,25
0,0,24,34,42
8,0,35,57,0
2,22,16,19,41
6,2,2,30,60
0,15,27,36,22
4,16,25,34,21
18,12,9,23,38
3,7,10,40,40
10,15,17,35,23
2,2,16,40,40
0,0,34,19,47
0,14,17,20,49
8,13,22,29,28
9,13,21,30,27
7,13,40,40,0
2,7,5,21,65
6,12,22,30,30
13,24,38,25,0
0,7,23,0,70
3,5,10,23,59
2,20,29,47,2
15,25,20,25,15
20,20,20,20,20
6,10,16,24,44
10,20,19,25,26
2,5,25,2,66
3,2,15,40,40
6,13,21,26,34
13,17,21,23,26
2,2,32,40,24
0,10,0,30,60
2,23,19,25,31
0,0,15,35,50
14,22,33,20,11
12,8,19,30,31
7,8,9,33,43
1,13,5,25,56
4,12,21,33,30
12,22,27,6,33
10,10,20,30,30
1,13,26,20,40
0,9,27,20,44
2,2,32,38,26
8,2,0,30,60
20,2,38,2,38
0,11,21,11,57
20,20,40,20,0
0,0,18,39,43
2,20,20,20,38
12,24,40,24,0
5,20,30,30,15
10,26,36,26,2
0,13,24,6,57
12,21,38,27,2
0,15,20,0,65
11,25,39,25,0
8,8,35,45,4
5,10,24,34,27
5,12,24,18,41
0,0,8,38,54
8,17,42,31,2
13,22,34,6,25
1,13,24,5,57
0,0,10,30,60
3,12,23,27,35
13,16,29,42,0
10,23,37,30,0
6,5,35,23,31
4,12,20,28,36
0,0,40,30,30
10,0,0,30,60
0,0,18,39,43
2,6,16,28,48
4,3,36,27,30
7,15,21,26,31
0,10,25,33,32
10,1,12,36,41
10,0,0,30,60
12,6,17,31,34
4,13,25,37,21
0,0,38,29,33
5,7,2,35,51
4,14,17,29,36
0,23,37,40,0
0,20,40,40,0
11,13,17,17,42
6,9,26,19,40
0,0,0,50,50
8,5,20,33,34
8,13,22,34,23
8,12,13,38,29
10,10,35,0,45
2,13,16,4,65
6,3,27,34,30
8,12,37,2,41
9,18,17,25,31
13,0,0,29,58
0,0,41,31,28
2,16,18,2,62
2,2,35,39,22
2,16,2,40,40
0,17,25,29,29
7,11,15,28,39
0,14,26,38,22
10,11,17,30,32
4,4,35,31,26
4,8,18,33,37
2,2,2,32,62
0,0,38,28,34
8,16,25,37,14
14,22,30,25,9
4,11,20,28,37
0,5,25,36,34
5,17,44,26,8
6,3,32,35,24
9,9,19,32,31
18,27,34,21,0
7,0,0,31,62
5,0,0,27,68
6,12,21,33,28
0,0,15,43,42
18,20,37,0,25
4,6,16,0,74
0,20,0,50,30
9,18,34,39,0
12,4,4,30,50
4,6,16,23,51
6,0,0,28,66
0,25,0,50,25
2,7,28,32,31
0,0,50,25,25
7,14,18,24,37
5,16,25,17,37
0,25,0,50,25
8,0,0,28,64
4,12,20,28,36
20,20,20,0,40
0,13,25,6,56
0,0,0,50,50
0,5,45,50,0
0,14,3,53,30
11,14,16,21,38
0,6,25,42,27
0,0,17,40,43
2,7,17,39,35
2,2,25,34,37
2,13,18,29,38
0,10,0,50,40
0,10,0,50,40
5,10,25,34,26
8,15,17,30,30
10,2,36,50,2
0,22,12,36,30
6,13,20,27,34
0,0,13,38,49
8,19,34,2,37
2,5,3,53,37
15,20,30,30,5
2,15,26,8,49
0,2,32,41,25
5,32,15,44,4
8,18,14,56,4
0,17,17,0,66
0,4,26,33,37
10,18,6,43,23
9,0,37,52,2
10,0,0,30,60
5,9,14,41,31
2,2,42,22,32
0,15,37,48,0
2,5,20,35,38
6,8,21,36,29
2,16,23,36,23
5,11,21,30,33
8,2,2,30,58
0,14,22,33,31
11,19,29,41,0
2,2,39,40,17
10,15,10,15,50
0,12,21,6,61
7,22,38,31,2
3,17,17,29,34
7,0,0,30,63
12,22,22,22,22
7,8,20,30,35
0,11,28,45,16
6,14,20,20,40
2,20,19,29,30
0,24,39,4,33
2,25,40,2,31
12,17,27,40,4
12,0,28,0,60
4,7,19,42,28
7,16,33,40,4
0,9,32,20,39
0,0,42,26,32
2,9,23,39,27
2,5,24,39,30
1,4,9,52,34
11,0,0,27,62
0,0,28,35,37
0,5,24,37,34
11,22,34,21,12
10,0,0,30,60
6,0,0,31,63
2,7,30,40,21
3,12,22,33,30
0,14,18,20,48
3,8,19,32,38
0,13,25,31,31
3,8,19,32,38
4,9,21,35,31
5,9,27,18,41
2,8,22,32,36
3,9,19,38,31
8,18,14,55,5
13,19,29,37,2
8,18,12,20,42
14,9,20,26,31
5,0,0,31,64
4,4,17,35,40
0,0,60,40,0
5,12,19,28,36
2,10,19,36,33
6,10,20,31,33
0,23,45,4,28
0,14,18,0,68
7,16,29,8,40
3,4,5,20,68
2,1,4,30,63
0,0,0,32,68
4,10,24,34,28
2,9,1,54,34
20,20,20,20,20
4,18,33,5,40
0,15,0,55,30
4,9,21,31,35
5,2,2,31,60
5,11,16,30,38
22,25,31,22,0
1,6,22,31,40
5,11,32,44,8
