"castle_1","castle_2","castle_3","castle_4","castle_5"
4,4,24,30,38
2,12,46,38,2
5,9,28,28,30
4,10,16,25,45
2,5,38,2,53
4,23,28,33,12
2,10,4,52,32
5,13,20,27,35
8,27,15,30,20
3,25,24,24,24
5,26,23,38,8
3,4,25,54,14
4,0,0,32,64
2,16,29,47,6
2,3,16,47,32
2,22,2,42,32
1,0,15,68,16
2,2,20,38,38
8,16,13,34,29
2,2,46,48,2
6,6,13,35,40
3,10,25,36,26
4,17,18,6,55
5,9,16,59,11
8,8,20,44,20
12,7,0,46,35
8,18,14,55,5
2,2,6,15,75
6,13,21,26,34
2,2,2,92,2
2,3,29,30,36
4,12,20,28,36
8,9,21,10,52
7,17,27,32,17
6,18,14,24,38
2,8,28,54,8
11,2,2,56,29
7,8,14,22,49
14,22,14,0,50
5,10,17,38,30
6,10,0,28,56
3,13,20,17,47
5,15,22,28,30
3,4,4,58,31
4,10,10,37,39
2,8,44,34,12
7,12,22,32,27
6,15,27,32,20
7,18,23,24,28
8,8,28,48,8
6,20,14,56,4
6,13,20,27,34
9,23,40,28,0
2,2,9,30,57
3,0,0,32,65
6,12,20,28,34
5,19,14,33,29
4,2,1,31,62
4,0,0,32,64
4,20,26,35,15
6,2,2,45,45
11,21,38,25,5
2,3,25,42,28
1,20,20,0,59
12,16,44,21,7
1,18,21,6,54
4,4,32,25,35
2,2,5,60,31
6,6,31,53,4
3,16,18,30,33
7,10,29,29,25
2,5,25,55,13
6,22,36,26,10
2,13,20,28,37
7,15,19,34,25
3,19,23,6,49
2,16,21,29,32
4,20,36,36,4
6,10,16,40,28
3,9,23,33,32
8,9,28,49,6
2,12,23,35,28
9,17,12,57,5
2,8,38,25,27
6,12,20,27,35
4,12,20,28,36
9,4,31,52,4
30,9,28,5,28
2,2,6,25,65
7,33,16,42,2
3,8,22,63,4
4,6,40,40,10
6,7,29,28,30
1,2,1,38,58
2,17,14,31,36
4,19,24,30,23
2,2,37,27,32
5,20,42,33,0
8,14,27,33,18
4,10,16,35,35
5,6,38,5,46
2,2,21,2,73
2,3,9,72,14
10,8,22,3,57
6,18,33,18,25
5,6,44,15,30
10,49,25,10,6
2,4,36,30,28
2,2,24,47,25
4,13,32,42,9
5,8,42,43,2
5,15,25,0,55
1,0,0,0,99
9,20,27,40,4
2,7,27,62,2
1,14,22,4,59
2,1,6,35,56
12,31,18,35,4
2,18,14,56,10
6,10,19,33,32
2,2,47,10,39
7,11,22,26,34
1,0,0,99,0
4,12,2,50,32
2,2,20,22,54
4,4,22,24,46
4,11,20,29,36
1,24,20,55,0
2,22,2,46,28
4,8,16,35,37
1,7,34,22,36
4,7,14,33,42
2,13,21,2,62
7,15,28,41,9
5,5,19,34,37
4,12,20,28,36
2,22,4,45,27
2,2,30,45,21
3,2,2,24,69
7,11,21,37,24
2,16,16,22,44
18,12,24,18,28
4,10,20,30,36
2,12,17,61,8
2,15,24,28,31
2,12,23,29,34
4,21,30,4,41
4,9,34,29,24
2,2,46,46,4
4,2,2,28,64
2,8,22,30,38
8,9,17,38,28
4,18,17,23,38
2,2,4,53,39
2,3,18,45,32
4,9,25,34,28
2,18,16,4,60
6,22,8,39,25
1,3,4,46,46
2,13,29,29,27
6,0,0,32,62
6,19,32,19,24
2,16,29,4,49
6,20,22,8,44
6,12,20,28,34
6,9,31,52,2
5,12,29,45,9
5,9,35,14,37
5,4,21,36,34
4,7,11,21,57
2,18,32,46,2
2,2,2,41,53
2,14,21,28,35
2,3,29,60,6
2,4,18,46,30
1,2,43,27,27
8,8,24,52,8
2,2,23,32,41
5,0,0,27,68
4,7,20,22,47
2,10,25,35,28
10,25,30,26,9
12,20,5,7,56
2,12,37,47,2
5,16,25,30,24
3,4,15,36,42
2,4,29,32,33
4,4,20,40,32
3,7,11,15,64
4,3,6,35,52
9,15,15,16,45
7,11,17,34,31
